shipment_id,ship_date,origin_warehouse,destination_region,mode_of_transport,distance_km,shipment_volume_units,delivery_time_days,promised_time_days,on_time_delivery,transportation_cost_inr,customer_rating,cost_per_km,delay_days,ship_month
SHP00018,2026-05-25,WH-3,North,Road,486.6,33,1.95,4,True,29221.75,4.4,60.05,0.0,2026-05
SHP00019,2026-01-30,WH-5,Central,Road,871.6,40,2.44,4,True,40062.82,4.4,45.96,0.0,2026-01
SHP00020,2026-02-06,WH-4,South,Sea,748.8,29,3.14,10,True,7106.29,5.0,9.49,0.0,2026-02
SHP00021,2026-02-23,WH-1,South,Road,503.0,10,1.97,4,True,22412.25,5.0,44.56,0.0,2026-02
SHP00022,2026-06-25,WH-3,West,Rail,678.2,12,1.89,5,True,12513.82,4.1,18.45,0.0,2026-06
SHP00023,2026-03-07,WH-2,Central,Road,594.1,8,1.76,4,True,29749.64,4.2,50.08,0.0,2026-03
SHP00024,2026-04-11,WH-3,North,Road,981.6,11,3.12,4,True,46437.75,5.0,47.31,0.0,2026-04
SHP00025,2026-04-16,WH-4,West,Sea,1005.8,12,3.38,10,True,10546.95,4.7,10.49,0.0,2026-04
SHP00026,2026-02-03,WH-1,South,Road,1160.9,23,3.34,4,True,54337.0,3.7,46.81,0.0,2026-02
SHP00027,2026-03-10,WH-4,North,Road,769.1,35,2.32,4,True,36188.03,4.2,47.05,0.0,2026-03
SHP00028,2026-03-10,WH-1,North,Sea,937.7,32,3.62,10,True,9164.05,4.8,9.77,0.0,2026-03
SHP00029,2026-06-28,WH-5,East,Road,1281.9,50,4.22,4,True,59165.69,4.1,46.15,0.22,2026-06
SHP00030,2026-01-08,WH-2,East,Road,601.5,8,1.87,4,True,30366.69,4.7,50.48,0.0,2026-01
SHP00031,2026-06-13,WH-5,North,Road,569.3,37,2.46,4,True,26828.93,4.0,47.13,0.0,2026-06
SHP00032,2026-01-13,WH-1,Central,Sea,1381.4,12,4.42,10,True,10994.32,4.0,7.96,0.0,2026-01
SHP00033,2026-03-17,WH-3,North,Sea,520.8,22,2.1,10,True,5131.13,4.5,9.85,0.0,2026-03
SHP00034,2026-05-31,WH-5,East,Road,339.1,86,1.93,4,True,15999.15,4.4,47.18,0.0,2026-05
SHP00035,2026-06-27,WH-1,South,Road,682.6,21,2.03,4,True,25732.67,4.2,37.7,0.0,2026-06
SHP00036,2026-03-11,WH-4,Central,Rail,898.0,3,2.73,5,True,19878.47,3.4,22.14,0.0,2026-03
SHP00037,2026-03-02,WH-4,South,Rail,471.5,39,1.46,5,True,12526.29,4.4,26.57,0.0,2026-03
SHP00038,2026-06-09,WH-5,South,Sea,327.1,16,1.99,10,True,3100.85,4.1,9.48,0.0,2026-06
SHP00039,2026-04-27,WH-1,North,Road,762.8,63,2.82,4,True,30668.09,3.9,40.2,0.0,2026-04
SHP00040,2026-03-31,WH-4,South,Road,547.3,11,1.84,4,True,21449.11,5.0,39.19,0.0,2026-03
SHP00041,2026-05-14,WH-3,South,Road,168.0,36,1.05,4,True,8836.74,5.0,52.6,0.0,2026-05
SHP00042,2026-01-26,WH-5,Central,Road,453.7,18,1.68,4,True,22810.72,4.6,50.28,0.0,2026-01
SHP00043,2026-01-23,WH-5,Central,Sea,808.8,16,2.54,10,True,6247.58,4.8,7.72,0.0,2026-01
SHP00044,2026-06-11,WH-2,East,Road,249.6,13,1.59,4,True,12107.01,4.6,48.51,0.0,2026-06
SHP00045,2026-03-26,WH-5,East,Road,1528.2,24,4.24,4,True,67280.17,4.6,44.03,0.24,2026-03
SHP00046,2026-01-30,WH-4,East,Road,459.5,5,1.73,4,True,19964.87,5.0,43.45,0.0,2026-01
SHP00047,2026-05-31,WH-1,South,Road,178.1,8,1.01,4,True,8269.0,3.8,46.43,0.0,2026-05
SHP00048,2026-04-02,WH-5,North,Road,925.2,21,2.84,4,True,38178.4,4.2,41.27,0.0,2026-04
SHP00049,2026-02-25,WH-1,South,Road,334.8,40,2.07,4,True,13682.37,5.0,40.87,0.0,2026-02
SHP00050,2026-06-03,WH-5,South,Road,515.7,40,2.25,4,True,20030.57,4.3,38.84,0.0,2026-06
SHP00051,2026-04-29,WH-1,East,Road,294.6,12,1.06,4,True,11257.47,5.0,38.21,0.0,2026-04
SHP00052,2026-02-03,WH-6,East,Road,1018.4,66,2.9,4,True,55479.95,3.6,54.48,0.0,2026-02
SHP00053,2026-02-02,WH-1,East,Road,981.4,12,2.92,4,True,36437.19,4.9,37.13,0.0,2026-02
SHP00054,2026-06-28,WH-6,North,Sea,725.3,25,2.64,10,True,8390.7,4.8,11.57,0.0,2026-06
SHP00055,2026-03-05,WH-6,East,Air,400.0,37,0.71,2,True,66915.07,5.0,167.29,0.0,2026-03
SHP00056,2026-03-25,WH-2,East,Road,94.8,49,1.05,4,True,4705.12,4.7,49.63,0.0,2026-03
SHP00057,2026-04-27,WH-6,West,Sea,561.0,22,2.29,10,True,5258.43,4.0,9.37,0.0,2026-04
SHP00058,2026-03-24,WH-5,North,Road,977.0,3,3.26,4,True,44558.23,3.2,45.61,0.0,2026-03
SHP00059,2026-06-02,WH-1,East,Road,280.1,35,0.98,4,True,8950.39,3.3,31.95,0.0,2026-06
SHP00060,2026-01-15,WH-4,West,Rail,351.6,79,1.52,5,True,8486.48,5.0,24.14,0.0,2026-01
SHP00061,2026-01-10,WH-2,North,Road,1062.2,15,3.14,4,True,47925.1,4.4,45.12,0.0,2026-01
SHP00062,2026-03-17,WH-4,East,Road,2733.3,21,6.88,4,False,117600.38,2.3,43.03,2.88,2026-03
SHP00063,2026-05-20,WH-3,South,Road,379.0,40,5.44,4,False,14908.96,2.6,39.34,1.44,2026-05
SHP00064,2026-02-09,WH-6,North,Road,1494.5,12,3.79,4,True,61468.3,3.8,41.13,0.0,2026-02
SHP00065,2026-05-17,WH-5,East,Road,362.9,29,1.21,4,True,18526.94,4.4,51.05,0.0,2026-05
SHP00066,2026-04-18,WH-3,East,Sea,1120.5,29,3.96,10,True,8793.36,3.9,7.85,0.0,2026-04
SHP00067,2026-03-25,WH-1,North,Road,365.8,49,2.13,4,True,16480.36,3.6,45.05,0.0,2026-03
SHP00068,2026-01-29,WH-6,West,Road,99.3,48,1.05,4,True,4367.82,5.0,43.99,0.0,2026-01
SHP00069,2026-03-04,WH-3,East,Road,2099.5,13,5.64,4,False,89382.08,3.8,42.57,1.64,2026-03
SHP00070,2026-01-08,WH-5,Central,Sea,715.0,11,2.95,10,True,6223.18,4.7,8.7,0.0,2026-01
SHP00071,2026-02-01,WH-6,South,Road,268.0,15,2.02,4,True,13425.34,4.6,50.09,0.0,2026-02
SHP00072,2026-05-28,WH-5,South,Sea,219.1,14,0.91,10,True,2388.26,4.0,10.9,0.0,2026-05
SHP00073,2026-03-27,WH-2,Central,Road,1453.2,23,4.42,4,True,56131.61,5.0,38.63,0.42,2026-03
SHP00074,2026-04-13,WH-1,West,Rail,21.6,9,0.46,5,True,651.83,5.0,30.18,0.0,2026-04
SHP00075,2026-06-15,WH-1,East,Sea,946.8,19,3.67,10,True,6237.2,4.9,6.59,0.0,2026-06
SHP00076,2026-05-18,WH-5,South,Rail,305.8,5,1.65,5,True,6003.11,4.5,19.63,0.0,2026-05
SHP00077,2026-06-13,WH-3,South,Road,354.6,32,1.52,4,True,12419.02,3.9,35.02,0.0,2026-06
SHP00078,2026-03-22,WH-3,North,Road,1048.7,5,3.44,4,True,51280.89,5.0,48.9,0.0,2026-03
SHP00079,2026-04-18,WH-3,South,Road,631.0,33,5.77,4,False,22462.64,3.0,35.6,1.77,2026-04
SHP00080,2026-01-08,WH-3,North,Road,997.3,38,3.09,4,True,48662.62,5.0,48.79,0.0,2026-01
SHP00081,2026-01-16,WH-2,North,Rail,1279.0,25,5.48,5,True,25097.94,4.4,19.62,0.48,2026-01
SHP00082,2026-04-13,WH-2,Central,Sea,1036.4,7,4.92,10,True,10406.44,4.2,10.04,0.0,2026-04
SHP00083,2026-06-02,WH-5,South,Road,720.0,2,2.69,4,True,34227.69,4.1,47.54,0.0,2026-06
SHP00084,2026-01-29,WH-6,Central,Road,234.4,13,1.39,4,True,7266.16,4.1,31.0,0.0,2026-01
SHP00085,2026-06-26,WH-6,South,Air,1623.9,7,1.07,2,True,240948.86,3.2,148.38,0.0,2026-06
SHP00086,2026-02-06,WH-2,West,Road,229.3,18,1.6,4,True,9099.09,3.7,39.68,0.0,2026-02
SHP00087,2026-04-03,WH-4,Central,Road,853.8,25,2.78,4,True,48372.31,4.0,56.66,0.0,2026-04
SHP00088,2026-01-09,WH-1,North,Sea,1402.8,63,7.16,10,True,12531.07,4.5,8.93,0.0,2026-01
SHP00089,2026-01-11,WH-2,East,Rail,163.5,12,1.43,5,True,3666.89,4.7,22.43,0.0,2026-01
SHP00090,2026-02-07,WH-4,East,Road,1320.6,20,3.31,4,True,70230.96,2.3,53.18,0.0,2026-02
SHP00091,2026-02-09,WH-2,East,Sea,319.3,32,1.86,10,True,3060.15,4.6,9.58,0.0,2026-02
SHP00092,2026-04-10,WH-2,West,Rail,1058.4,12,3.21,5,True,25883.27,4.3,24.46,0.0,2026-04
SHP00093,2026-04-10,WH-2,South,Air,726.0,11,1.29,2,True,133639.29,4.2,184.08,0.0,2026-04
SHP00094,2026-06-07,WH-6,North,Sea,315.8,52,3.59,10,True,3167.82,4.7,10.03,0.0,2026-06
SHP00095,2026-05-30,WH-4,Central,Road,397.8,12,1.25,4,True,17369.59,4.0,43.66,0.0,2026-05
SHP00096,2026-01-07,WH-4,West,Rail,2059.2,14,5.16,5,True,54027.92,4.3,26.24,0.16,2026-01
SHP00097,2026-02-08,WH-1,Central,Road,225.2,13,1.56,4,True,10914.83,4.7,48.47,0.0,2026-02
SHP00098,2026-05-11,WH-3,Central,Sea,776.7,51,6.05,10,True,6769.33,3.7,8.72,0.0,2026-05
SHP00099,2026-05-25,WH-1,East,Road,2806.4,18,9.4,4,False,105233.13,2.9,37.5,5.4,2026-05
SHP00100,2026-03-25,WH-6,North,Rail,198.9,19,0.76,5,True,3864.92,4.0,19.43,0.0,2026-03
SHP00101,2026-03-05,WH-2,South,Road,1254.5,53,3.95,4,True,59964.9,4.0,47.8,0.0,2026-03
SHP00102,2026-03-27,WH-6,North,Rail,885.2,52,4.06,5,True,19114.61,3.6,21.59,0.0,2026-03
SHP00103,2026-05-23,WH-2,Central,Road,254.0,62,0.89,4,True,12467.91,5.0,49.09,0.0,2026-05
SHP00104,2026-03-25,WH-6,Central,Air,839.9,22,1.3,2,True,156117.2,5.0,185.88,0.0,2026-03
SHP00105,2026-05-21,WH-4,North,Road,752.6,6,2.4,4,True,37083.51,4.1,49.27,0.0,2026-05
SHP00106,2026-05-30,WH-3,North,Road,615.0,14,1.74,4,True,36892.51,3.6,59.99,0.0,2026-05
SHP00107,2026-06-08,WH-5,Central,Road,491.8,27,2.05,4,True,24261.29,5.0,49.33,0.0,2026-06
SHP00108,2026-03-07,WH-2,East,Road,3317.5,32,8.57,4,False,164805.64,2.6,49.68,4.57,2026-03
SHP00109,2026-01-08,WH-2,West,Road,56.6,76,0.76,4,True,3131.17,4.3,55.32,0.0,2026-01
SHP00110,2026-03-25,WH-6,North,Road,360.8,15,1.97,4,True,13718.49,5.0,38.02,0.0,2026-03
SHP00111,2026-01-10,WH-3,North,Sea,369.9,21,1.58,10,True,3035.27,4.8,8.21,0.0,2026-01
SHP00112,2026-01-28,WH-4,West,Road,188.2,40,1.15,4,True,9637.85,5.0,51.21,0.0,2026-01
SHP00113,2026-03-19,WH-2,North,Road,774.3,36,2.96,4,True,34254.39,4.4,44.24,0.0,2026-03
SHP00114,2026-02-12,WH-5,North,Road,87.9,6,0.96,4,True,4099.93,4.0,46.64,0.0,2026-02
SHP00115,2026-04-06,WH-5,North,Air,926.1,18,0.81,2,True,154020.98,4.2,166.31,0.0,2026-04
SHP00116,2026-05-27,WH-1,West,Sea,796.1,30,2.91,10,True,8495.83,3.4,10.67,0.0,2026-05
SHP00117,2026-03-14,WH-5,Central,Sea,1207.3,12,4.06,10,True,11030.27,4.9,9.14,0.0,2026-03
SHP00118,2026-03-16,WH-5,Central,Road,589.2,44,1.9,4,True,21817.48,3.2,37.03,0.0,2026-03
SHP00119,2026-02-04,WH-1,East,Rail,1311.3,23,3.52,5,True,27833.92,5.0,21.23,0.0,2026-02
SHP00120,2026-06-03,WH-5,East,Road,510.0,22,1.65,4,True,19205.64,5.0,37.66,0.0,2026-06
SHP00121,2026-05-31,WH-5,West,Road,821.5,22,3.45,4,True,37596.46,4.6,45.77,0.0,2026-05
SHP00122,2026-06-05,WH-5,East,Rail,253.3,42,1.45,5,True,4901.99,4.3,19.35,0.0,2026-06
SHP00123,2026-06-08,WH-5,West,Road,580.1,23,1.82,4,True,22590.29,4.5,38.94,0.0,2026-06
SHP00124,2026-05-21,WH-3,North,Rail,1546.8,21,3.6,5,True,35999.39,5.0,23.27,0.0,2026-05
SHP00125,2026-04-01,WH-2,Central,Road,519.7,38,1.84,4,True,21276.0,3.9,40.94,0.0,2026-04
SHP00126,2026-04-18,WH-3,East,Road,2309.6,17,5.45,4,False,99434.32,2.1,43.05,1.45,2026-04
SHP00127,2026-06-02,WH-6,South,Rail,789.9,28,2.24,5,True,16692.35,4.7,21.13,0.0,2026-06
SHP00128,2026-04-07,WH-5,South,Road,1782.3,5,4.57,4,False,66194.99,3.3,37.14,0.57,2026-04
SHP00129,2026-02-19,WH-6,North,Rail,1232.3,16,3.65,5,True,23266.67,4.4,18.88,0.0,2026-02
SHP00130,2026-02-05,WH-2,South,Rail,709.1,57,1.87,5,True,17954.88,3.0,25.32,0.0,2026-02
SHP00131,2026-01-05,WH-6,North,Sea,442.5,11,2.51,10,True,4634.14,4.6,10.47,0.0,2026-01
SHP00132,2026-05-22,WH-5,East,Road,1259.1,12,3.44,4,True,47303.54,5.0,37.57,0.0,2026-05
SHP00133,2026-02-24,WH-2,South,Sea,672.2,27,2.58,10,True,7529.63,4.9,11.2,0.0,2026-02
SHP00134,2026-06-07,WH-2,East,Rail,55.8,15,1.15,5,True,1250.25,4.1,22.41,0.0,2026-06
SHP00135,2026-01-25,WH-2,Central,Rail,426.3,4,5.13,5,True,9610.33,4.6,22.54,0.13,2026-01
SHP00136,2026-05-16,WH-2,West,Rail,599.6,6,1.57,5,True,13925.45,4.8,23.22,0.0,2026-05
SHP00137,2026-06-09,WH-6,Central,Road,723.6,68,4.32,4,True,36509.16,4.5,50.45,0.32,2026-06
SHP00138,2026-05-29,WH-3,Central,Road,505.0,12,3.11,4,True,21340.81,4.7,42.26,0.0,2026-05
SHP00139,2026-06-15,WH-4,South,Rail,1404.1,7,3.44,5,True,31596.96,4.9,22.5,0.0,2026-06
SHP00140,2026-05-29,WH-3,North,Road,1089.8,40,2.85,4,True,43186.64,4.4,39.63,0.0,2026-05
SHP00141,2026-02-21,WH-5,North,Road,971.3,15,3.05,4,True,45335.5,4.2,46.68,0.0,2026-02
SHP00142,2026-04-30,WH-1,Central,Road,1277.1,12,3.37,4,True,68065.83,4.3,53.3,0.0,2026-04
SHP00143,2026-06-26,WH-3,East,Rail,1200.4,21,2.84,5,True,25306.67,4.3,21.08,0.0,2026-06
SHP00144,2026-06-28,WH-5,North,Air,697.3,11,0.78,2,True,134461.59,3.8,192.83,0.0,2026-06
SHP00145,2026-04-06,WH-6,North,Road,945.0,11,2.86,4,True,40636.64,3.9,43.0,0.0,2026-04
SHP00146,2026-04-24,WH-6,North,Sea,316.3,19,1.23,10,True,2714.01,5.0,8.58,0.0,2026-04
SHP00147,2026-06-17,WH-1,North,Road,876.2,17,2.74,4,True,34757.52,4.6,39.67,0.0,2026-06
SHP00148,2026-04-30,WH-1,West,Road,577.0,8,2.37,4,True,28681.88,3.7,49.71,0.0,2026-04
SHP00149,2026-05-15,WH-6,Central,Air,987.8,18,1.29,2,True,157583.75,4.1,159.53,0.0,2026-05
SHP00150,2026-04-05,WH-2,West,Road,815.3,14,2.48,4,True,31679.14,3.9,38.86,0.0,2026-04
SHP00151,2026-04-21,WH-4,North,Road,777.1,8,2.53,4,True,33048.94,4.2,42.53,0.0,2026-04
SHP00152,2026-01-10,WH-2,North,Sea,990.7,28,3.53,10,True,10812.57,5.0,10.91,0.0,2026-01
SHP00153,2026-01-14,WH-6,West,Sea,693.9,37,2.81,10,True,7583.69,3.8,10.93,0.0,2026-01
SHP00154,2026-01-24,WH-2,South,Rail,656.1,28,1.61,5,True,13624.49,4.2,20.77,0.0,2026-01
SHP00155,2026-01-14,WH-4,South,Road,475.5,17,2.99,4,True,20065.19,4.2,42.2,0.0,2026-01
SHP00156,2026-05-30,WH-3,South,Rail,685.2,31,2.14,5,True,14967.55,3.9,21.84,0.0,2026-05
SHP00157,2026-02-16,WH-4,South,Road,1103.5,23,3.13,4,True,51678.56,4.3,46.83,0.0,2026-02
SHP00158,2026-03-31,WH-1,West,Road,293.6,14,1.29,4,True,11179.31,4.5,38.08,0.0,2026-03
SHP00159,2026-02-04,WH-2,South,Sea,120.1,30,1.03,10,True,1138.13,4.5,9.48,0.0,2026-02
SHP00160,2026-04-10,WH-1,East,Road,488.6,27,1.51,4,True,18662.12,4.3,38.2,0.0,2026-04
SHP00161,2026-01-14,WH-4,South,Road,560.7,42,1.95,4,True,22235.89,4.1,39.66,0.0,2026-01
SHP00162,2026-01-21,WH-1,North,Sea,646.7,5,4.45,10,True,5387.29,4.8,8.33,0.0,2026-01
SHP00163,2026-02-26,WH-6,North,Road,700.7,10,2.16,4,True,32922.82,3.9,46.99,0.0,2026-02
SHP00164,2026-03-02,WH-5,West,Road,577.9,16,2.22,4,True,25754.25,3.8,44.57,0.0,2026-03
SHP00165,2026-03-07,WH-1,North,Sea,20.0,18,3.35,10,True,258.44,4.4,12.92,0.0,2026-03
SHP00166,2026-01-20,WH-5,West,Road,643.0,38,3.36,4,True,30925.53,5.0,48.1,0.0,2026-01
SHP00167,2026-05-11,WH-6,East,Rail,852.3,17,2.1,5,True,27323.2,5.0,32.06,0.0,2026-05
SHP00168,2026-01-08,WH-2,Central,Road,417.6,27,1.8,4,True,21341.12,4.4,51.1,0.0,2026-01
SHP00169,2026-05-10,WH-4,North,Rail,1151.8,15,2.77,5,True,25388.14,4.3,22.04,0.0,2026-05
SHP00170,2026-01-12,WH-1,East,Road,240.0,9,1.49,4,True,10491.39,4.6,43.71,0.0,2026-01
SHP00171,2026-06-11,WH-4,North,Road,349.2,25,1.38,4,True,15265.43,4.6,43.72,0.0,2026-06
SHP00172,2026-04-18,WH-4,Central,Sea,469.0,36,2.33,10,True,4237.45,4.0,9.04,0.0,2026-04
SHP00173,2026-02-27,WH-2,Central,Air,1794.2,95,1.52,2,True,241425.83,4.1,134.56,0.0,2026-02
SHP00174,2026-05-28,WH-6,South,Road,806.1,13,2.67,4,True,38564.37,3.8,47.84,0.0,2026-05
SHP00175,2026-05-22,WH-6,North,Road,379.9,35,1.2,4,True,15578.19,4.2,41.01,0.0,2026-05
SHP00176,2026-03-13,WH-5,South,Road,246.1,57,2.1,4,True,10387.49,4.7,42.21,0.0,2026-03
SHP00177,2026-03-04,WH-6,West,Sea,1174.3,32,3.96,10,True,14164.76,3.4,12.06,0.0,2026-03
SHP00178,2026-03-19,WH-1,West,Road,939.9,28,2.92,4,True,45583.25,4.3,48.5,0.0,2026-03
SHP00179,2026-01-11,WH-3,West,Road,575.9,21,1.64,4,True,28767.23,4.6,49.95,0.0,2026-01
SHP00180,2026-01-08,WH-1,West,Sea,1010.9,5,3.35,10,True,8786.28,4.3,8.69,0.0,2026-01
SHP00181,2026-06-06,WH-4,East,Rail,1223.1,10,2.96,5,True,29631.05,3.9,24.23,0.0,2026-06
SHP00182,2026-01-06,WH-6,East,Sea,301.6,38,1.31,10,True,3065.42,5.0,10.16,0.0,2026-01
SHP00183,2026-02-25,WH-4,East,Road,439.8,51,1.32,4,True,19772.14,4.2,44.96,0.0,2026-02
SHP00184,2026-04-17,WH-2,South,Road,116.1,39,0.81,4,True,4881.15,4.5,42.04,0.0,2026-04
SHP00185,2026-05-27,WH-6,North,Rail,1252.1,66,3.6,5,True,26661.82,3.7,21.29,0.0,2026-05
SHP00186,2026-01-08,WH-5,West,Sea,1279.4,15,4.27,10,True,12995.73,4.5,10.16,0.0,2026-01
SHP00187,2026-05-02,WH-4,East,Sea,334.9,13,1.76,10,True,3808.36,4.4,11.37,0.0,2026-05
SHP00188,2026-01-03,WH-4,North,Road,2784.7,21,7.44,4,False,110881.54,4.6,39.82,3.44,2026-01
SHP00189,2026-05-07,WH-1,North,Road,447.5,40,2.06,4,True,22726.96,3.7,50.79,0.0,2026-05
SHP00190,2026-04-18,WH-4,South,Air,1198.8,25,1.5,2,True,206225.97,3.3,172.03,0.0,2026-04
SHP00191,2026-06-01,WH-1,East,Air,1388.7,16,0.86,2,True,197872.95,5.0,142.49,0.0,2026-06
SHP00192,2026-05-19,WH-6,South,Road,1573.8,43,10.76,4,False,82272.07,2.5,52.28,6.76,2026-05
SHP00193,2026-03-08,WH-3,East,Road,877.8,14,2.28,4,True,37893.08,3.3,43.17,0.0,2026-03
SHP00194,2026-05-04,WH-2,Central,Road,497.9,24,2.15,4,True,24192.06,4.3,48.59,0.0,2026-05
SHP00195,2026-03-10,WH-4,South,Road,891.7,80,2.97,4,True,49700.01,3.8,55.74,0.0,2026-03
SHP00196,2026-05-07,WH-6,North,Road,318.4,21,1.32,4,True,14790.37,5.0,46.45,0.0,2026-05
SHP00197,2026-04-09,WH-1,East,Road,304.9,48,2.29,4,True,16560.69,5.0,54.32,0.0,2026-04
SHP00198,2026-04-08,WH-5,South,Sea,166.0,48,0.85,10,True,1706.68,4.0,10.28,0.0,2026-04
SHP00199,2026-04-25,WH-1,Central,Sea,1166.1,20,4.15,10,True,11606.49,3.9,9.95,0.0,2026-04
SHP00200,2026-06-28,WH-3,West,Road,387.9,3,1.7,4,True,13484.3,4.5,34.76,0.0,2026-06
SHP00201,2026-04-23,WH-1,North,Road,649.6,11,7.31,4,False,24742.95,3.5,38.09,3.31,2026-04
SHP00202,2026-02-23,WH-3,Central,Road,1108.0,63,3.5,4,True,56331.82,5.0,50.84,0.0,2026-02
SHP00203,2026-04-23,WH-2,Central,Road,723.1,53,6.12,4,False,26420.01,3.1,36.54,2.12,2026-04
SHP00204,2026-02-03,WH-1,West,Road,725.3,5,1.97,4,True,25497.57,3.3,35.15,0.0,2026-02
SHP00205,2026-05-04,WH-2,North,Road,760.7,6,2.2,4,True,30232.4,4.3,39.74,0.0,2026-05
SHP00206,2026-02-08,WH-5,Central,Road,1049.0,21,3.17,4,True,46063.72,2.6,43.91,0.0,2026-02
SHP00207,2026-05-28,WH-4,East,Rail,745.3,38,2.53,5,True,15364.09,3.7,20.61,0.0,2026-05
SHP00208,2026-02-03,WH-6,West,Road,685.0,13,2.5,4,True,30509.73,4.0,44.54,0.0,2026-02
SHP00209,2026-01-08,WH-2,South,Air,660.7,39,0.79,2,True,98844.18,4.8,149.61,0.0,2026-01
SHP00210,2026-05-21,WH-3,South,Air,446.6,33,1.05,2,True,73023.56,4.8,163.51,0.0,2026-05
SHP00211,2026-05-29,WH-5,Central,Rail,707.8,13,1.83,5,True,14796.44,4.3,20.9,0.0,2026-05
SHP00212,2026-04-11,WH-1,East,Sea,124.3,44,2.57,10,True,1355.22,4.5,10.9,0.0,2026-04
SHP00213,2026-03-14,WH-1,South,Air,400.0,39,1.14,2,True,77243.83,4.8,193.11,0.0,2026-03
SHP00214,2026-06-21,WH-6,North,Air,577.8,10,1.28,2,True,103767.85,3.4,179.59,0.0,2026-06
SHP00215,2026-04-12,WH-5,West,Road,711.9,17,2.25,4,True,21333.75,4.4,29.97,0.0,2026-04
SHP00216,2026-03-06,WH-6,Central,Road,535.5,36,1.96,4,True,25508.78,4.3,47.64,0.0,2026-03
SHP00217,2026-06-02,WH-5,South,Road,749.6,4,2.84,4,True,33782.16,4.8,45.07,0.0,2026-06
SHP00218,2026-04-14,WH-4,South,Road,1033.5,11,3.03,4,True,40885.82,4.4,39.56,0.0,2026-04
SHP00219,2026-01-17,WH-1,Central,Road,770.0,15,2.57,4,True,32429.89,4.6,42.12,0.0,2026-01
SHP00220,2026-03-06,WH-4,East,Road,492.1,17,1.82,4,True,22788.42,3.7,46.31,0.0,2026-03
SHP00221,2026-05-02,WH-5,Central,Road,581.6,17,2.32,4,True,24397.65,4.1,41.95,0.0,2026-05
SHP00222,2026-04-18,WH-4,North,Road,614.4,14,7.07,4,False,28830.49,2.0,46.92,3.07,2026-04
SHP00223,2026-04-28,WH-6,South,Rail,900.2,10,2.73,5,True,24138.94,4.3,26.82,0.0,2026-04
SHP00224,2026-04-04,WH-4,Central,Air,864.9,9,1.08,2,True,152440.13,4.8,176.25,0.0,2026-04
SHP00225,2026-04-14,WH-2,South,Rail,559.1,14,2.79,5,True,13391.34,4.2,23.95,0.0,2026-04
SHP00226,2026-05-09,WH-3,South,Sea,390.0,12,1.68,10,True,4338.25,4.5,11.12,0.0,2026-05
SHP00227,2026-04-03,WH-4,South,Air,976.6,61,0.82,2,True,138868.97,4.4,142.2,0.0,2026-04
SHP00228,2026-05-25,WH-2,South,Road,295.1,8,1.34,4,True,14026.11,3.3,47.53,0.0,2026-05
SHP00229,2026-02-09,WH-2,West,Road,352.6,34,1.88,4,True,16501.38,3.9,46.8,0.0,2026-02
SHP00230,2026-03-09,WH-6,East,Road,274.2,18,0.99,4,True,13508.54,4.9,49.27,0.0,2026-03
